Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-2016,CA-2016-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,11-11-2016,Second Class,Kentucky,Bookcases,0,41.9136,+16.0%,2,261.96
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-2016,CA-2016-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,11-11-2016,Second Class,Kentucky,Chairs,0,219.582,+30.0%,3,731.94
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,12-06-2016,CA-2016-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,16-06-2016,Second Class,California,Labels,0,6.8714,+47.0%,2,14.62
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-2015,US-2015-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,18-10-2015,Standard Class,Florida,Tables,0.45,-383.031,-40.0%,5,957.5775
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-2015,US-2015-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,18-10-2015,Standard Class,Florida,Storage,0.2,2.5164,+11.3%,2,22.368
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,14-06-2014,Standard Class,California,Furnishings,0,14.1694,+29.0%,7,48.86
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,14-06-2014,Standard Class,California,Art,0,1.9656,+27.0%,4,7.28
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,14-06-2014,Standard Class,California,Phones,0.2,90.7152,+10.0%,6,907.152
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,14-06-2014,Standard Class,California,Binders,0.2,5.7825,+31.3%,3,18.504
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,14-06-2014,Standard Class,California,Appliances,0,34.47,+30.0%,5,114.9
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,14-06-2014,Standard Class,California,Tables,0.2,85.309200000,+5.0%,9,1706.184
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2014,CA-2014-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,14-06-2014,Standard Class,California,Phones,0.2,68.3568,+7.5%,4,911.424
Office Supplies,Concord,United States,AA-10480,Andrew Allen,15-04-2017,CA-2017-114412,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,20-04-2017,Standard Class,North Carolina,Paper,0.2,5.4432,+35.0%,3,15.552
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,05-12-2016,CA-2016-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,10-12-2016,Standard Class,Washington,Binders,0.2,132.5922,+32.5%,3,407.976
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2015,US-2015-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,26-11-2015,Standard Class,Texas,Appliances,0.8,-123.858,-180.0%,5,68.81
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2015,US-2015-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,26-11-2015,Standard Class,Texas,Binders,0.8,-3.816,-150.0%,3,2.544
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11-11-2014,CA-2014-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,18-11-2014,Standard Class,Wisconsin,Storage,0,13.3176,+2.0%,6,665.88
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,13-05-2014,CA-2014-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,15-05-2014,Second Class,Utah,Storage,0,9.990000000,+18.0%,2,55.5
